feature,check1,check2,check3,check4,check5
Left Elbow Angle,38.88046539701933,70.77438515317245,164.39354647751023,113.40453195926987,59.91915454443444
Right Elbow Angle,120.91314454838373,153.6748263270941,166.75462336390848,109.33384315322927,66.19015238193948
Left Knee Angle,177.51432288305801,177.49988164608456,168.31368997791523,164.2020437623694,161.66126040423035
Right Knee Angle,173.95286059425493,172.34042830663333,170.65098443899245,155.73773424626384,153.89502882954648
Left Shoulder Angle,59.88937924225098,67.6183104844689,86.3762493434647,76.20521661406606,80.41320670446211
Right Shoulder Angle,72.41090103821949,86.07148775096489,14.844661208346608,83.5792218069086,104.04256897011793
Left Crotch Angle,98.19421964323932,93.54254066244971,74.471130087766,92.91167640184752,106.9746538854041
Right Crotch Angle,86.80138321105278,94.13834419976097,118.21904146691647,101.24426499668785,90.2879627269505
Nose Right Shoulder Elbow Angle,156.35239236972126,147.56074694848786,159.08527943509267,80.78331332985343,65.30520179984286
Nose Left Shoulder Elbow Angle,170.2708182988382,167.42563288009939,148.72590599558524,128.38644802812797,97.96957609886307
Nose_x,516.3507814407349,535.2617197036743,567.2168407440186,583.2567081451416,594.814868927002
Nose_y,774.6655464172363,789.5441131591797,797.9710140228271,769.272668838501,756.6603050231934
Left Eye_x,526.0291681289673,543.2557764053345,572.4754581451416,586.9387817382812,597.0468316847279
Left Eye_y,762.3086318969727,776.0412311553955,783.5227489471436,757.8092823028564,743.7038062310988
Right Eye_x,502.43921852111816,520.1581869125366,549.7644805908203,564.9538097381592,578.5704479217529
Right Eye_y,765.5223407745361,780.9727153778076,791.5375289916992,765.4285144805908,752.6733264923096
Left Ear_x,536.1279887537802,549.8954730856008,577.2807142469618,582.7141479492187,
Left Ear_y,765.0066390498991,766.4876582704742,768.1460209599247,721.1694702148437,
Right Ear_x,483.05184268951416,499.22380924224854,526.8427591323853,539.1591997146606,551.1898288726807
Right Ear_y,774.0877647399902,788.3191833496094,803.970911026001,784.8263359069824,773.3825263977051
Left Shoulder_x,578.5003395080566,603.2950096130371,628.9091129302979,618.0879783630371,604.9463539123535
Left Shoulder_y,832.2350063323975,836.7839546203613,830.8501949310303,830.9597396850586,827.2056865692139
Right Shoulder_x,466.561975479126,486.1935033798218,541.244255065918,572.259033203125,585.470235824585
Right Shoulder_y,831.3519229888916,843.1205253601074,886.4908599853516,843.7924537658691,828.4555835723877
Left Elbow_x,638.4471206665039,666.1491355895996,696.4538116455078,671.0150146484375,645.8736063639323
Left Elbow_y,875.9375057220459,867.3794918060303,828.2714328765869,840.5855293273926,831.021533203125
Right Elbow_x,415.1257610321045,424.7935199737549,550.2928867340088,647.8289680480957,669.3002681732178
Right Elbow_y,857.6657047271729,861.767297744751,1000.7406330108643,844.2847652435303,802.5333709716797
Left Wrist_x,630.3817481994629,661.7632961273193,749.6749649047852,690.7917709350586,613.680820719401
Left Wrist_y,850.8735942840576,864.3941059112549,839.4871768951416,804.6745471954346,788.6511047363281
Right Wrist_x,354.68189907073975,349.69621753692627,540.5243530273438,673.3783473968506,631.7768459320068
Right Wrist_y,818.2050285339355,849.2099990844727,1085.490665435791,776.6652202606201,759.8664627075195
Left Hip_x,566.5815315246582,599.4472789764404,649.858491897583,638.1137008666992,624.6357707977295
Left Hip_y,1026.3319873809814,1030.4712505340576,1030.4496021270752,1033.144962310791,1034.7491550445557
Right Hip_x,494.4179925918579,524.4818468093872,589.9199657440186,595.5852489471436,597.0349864959717
Right Hip_y,1024.1994190216064,1029.6469993591309,1045.2503204345703,1033.2340278625488,1029.4725131988525
Left Knee_x,583.3783168792725,606.6312770843506,645.304573059082,642.2745323181152,633.059965133667
Left Knee_y,1173.5341911315918,1179.0437316894531,1187.1554412841797,1186.6869926452637,1194.526626586914
Right Knee_x,498.1618003845215,512.0807981491089,554.7504844665527,562.931001663208,559.4191513061523
Right Knee_y,1170.4920043945312,1172.0832061767578,1181.9604301452637,1178.1701011657715,1175.6962966918945
Left Ankle_x,604.2966861724854,613.1820240020752,612.7836856842041,608.2886257171631,598.1953964233398
Left Ankle_y,1311.4559059143066,1317.29984664917,1325.798942565918,1323.7594909667969,1328.1877746582031
Right Ankle_x,514.8003196716309,518.1475400924683,510.41969108581543,486.15372943878174,468.58822441101074
Right Ankle_y,1299.2374534606934,1299.9524765014648,1293.8914489746094,1280.1799430847168,1282.5478172302246
